Ticker;Ticker BBG;Name
FLS;FLS UN Equity;Flowserve Corp
ATGE;ATGE UN Equity;Adtalem Global Education Inc
EA;EA UW Equity;Electronic Arts Inc
HAWK;HAWK UW Equity;Blackhawk Network Holdings Inc
EXPD;EXPD UW Equity;Expeditors International of Washington I
SEAS;SEAS UN Equity;SeaWorld Entertainment Inc
FAST;FAST UW Equity;Fastenal Co
MTB;MTB UN Equity;M&T Bank Corp
ITRI;ITRI UW Equity;Itron Inc
BF/A;BF/A UN Equity;Brown-Forman Corp
FHN;FHN UN Equity;First Horizon Corp
HAS;HAS UW Equity;Hasbro Inc
HBAN;HBAN UW Equity;Huntington Bancshares Inc/OH
WELL;WELL UN Equity;Welltower Inc
BIIB;BIIB UW Equity;Biogen Inc
LLTC;LLTC UW Equity;Linear Technology Corp
RRC;RRC UN Equity;Range Resources Corp
NEBLQ;NEBLQ UN Equity;Noble Corp plc
NTRS;NTRS UW Equity;Northern Trust Corp
PAYX;PAYX UW Equity;Paychex Inc
PBCT;PBCT UW Equity;People's United Financial Inc
PDCO;PDCO UW Equity;Patterson Cos Inc
QCOM;QCOM UW Equity;QUALCOMM Inc
ROP;ROP UN Equity;Roper Technologies Inc
ROST;ROST UW Equity;Ross Stores Inc
CNOB;CNOB UW Equity;ConnectOne Bancorp Inc
SBUX;SBUX UW Equity;Starbucks Corp
KEY;KEY UN Equity;KeyCorp
SPLS;SPLS UW Equity;Staples Inc
STT;STT UN Equity;State Street Corp
USB;USB UN Equity;US Bancorp
TROW;TROW UW Equity;T Rowe Price Group Inc
WM;WM UN Equity;Waste Management Inc
AGN;AGN UN Equity;Allergan PLC
STZ;STZ UN Equity;Constellation Brands Inc
XLNX;XLNX UW Equity;Xilinx Inc
RESI;RESI UN Equity;Front Yard Residential Corp
ZION;ZION UW Equity;Zions Bancorp NA
DNRCQ;DNRCQ UN Equity;Denbury Inc
PBF;PBF UN Equity;PBF Energy Inc
IVZ;IVZ UN Equity;Invesco Ltd
MS;MS UN Equity;Morgan Stanley
CHKAQ;CHKAQ UN Equity;Chesapeake Energy Corp
JBL;JBL UN Equity;Jabil Inc
ORLY;ORLY UW Equity;O'Reilly Automotive Inc
ALL;ALL UN Equity;Allstate Corp/The
FLIR;FLIR UW Equity;FLIR Systems Inc
MCRB;MCRB UW Equity;Seres Therapeutics Inc
EQR;EQR UN Equity;Equity Residential
ATEN;ATEN UN Equity;A10 Networks Inc
BWA;BWA UN Equity;BorgWarner Inc
ARAV;ARAV UW Equity;Aravive Inc
VIAV;VIAV UW Equity;Viavi Solutions Inc
URBN;URBN UW Equity;Urban Outfitters Inc
